Name;Routing;;;
WBKK_WMKP1;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ADNUT PIBOS VBA BILIK SUKAT GUNIP VPG WMKP;;;  
WBKK_WMKP2;WBKK VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ADNUT PIBOS VBA BILIK SUKAT GUNIP VPG WMKP;;;  
WBKK_WSSS1;WBKK VJN VIDIP DOGOG OLKIT TERIX BOBOB TOMAN HOSBA VTK WSSS;;;
WBKK_WSSS2;WBKK VJN VIDIP DOGOG OLKIT TERIX BOBOB TOMAN HOSBA VTK WSSS;;;
WBKL_WBGR1;WBKL VLB BRU KADMO VMI WBGR;;;
WBKL_WBGR2;WBKL VLB BRU VMI WBGR;;;
WBKL_WBGR3;WBKL VLB BRU KADMO VMI WBGR;;;
WBKL_WBGR4;WBKL VLB BRU KADMO VMI WBGR;;;
WBKL_WBGR5;WBKL VLB BRU VMI WBGR;;;
WBKL_WBKK1;WBKL VLB VJN WBKK;;; 
WBKL_WBKK2;WBKL VLB VJN WBKK;;; 
WBKL_WBKK3;WBKL VLB VJN WBKK;;; 
WBKL_WMKK1;WBKL VLB DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;
WBKL_WMKK2;WBKL VLB DOGOG OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;
WBKL_WMKK3;WBKL VLB DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBKL_WMKK4;WBKL VLB DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBKS_WBKK1;WBKS VSN VJN WBKK;;; 
WBKS_WBKK2;WBKS VSN VJN WBKK;;; 
WBKS_WBKK1;WBKS VSN VJN WBKK;;; 
WBKS_WBKK2;WBKS VSN VJN WBKK;;; 
WBKS_WBKK3;WBKS VSN VJN WBKK;;; 
WBKS_WBKK4;WBKS VSN VJN WBKK;;; 
WBKS_WBKK5;WBKS VSN VJN WBKK;;; 
WBKS_WBKK6;WBKS VSN VJN WBKK;;; 
WBKS_WBKK7;WBKS VSN VJN WBKK;;; 
WBKS_WBKW1;WBKS VSN VTW WBKW;;; 
WBKS_WBKW2;WBKS VSN VTW WBKW;;; 
WBKS_WMKK1;WBKS VSN VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;; 
WBKS_WMKK2;WBKS VSN VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;; 
WBKS_WMKK3;WBKS VSN VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;; 
WBKS_WMKK4;WBKS VSN VJN VIDIP DOGOG OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;; 
WBKW_WBKK1;WBKW VTW LHD VJN WBKK;;;
WBKW_WBKK2;WBKW VTW VJN WBKK;;; 
WBKW_WBKK3;WBKW VTW VJN WBKK;;; 
WBKW_WBKK4;WBKW VTW LHD VJN WBKK;;;
WBKW_WBKK5;WBKW VTW VJN WBKK;;; 
WBKW_WBKK6;WBKW VTW VJN WBKK;;; 
WBKW_WBKK7;WBKW VTW VJN WBKK;;; 
WBKW_WBKK8;WBKW VTW VJN WBKK;;; 
WBKW_WMKJ1;WBKW VTW LATIL BRU SAKMA DARMU KAMIN SABIP TOMAN HOSBA KK VJR WMKJ;;; 
WBKW_WMKK1;WBKW VTW LATIL BRU SAKMA DARMU KAMIN KIBOL VPT SAROX VKL WMKK;;;  
WBKW_WMKK2;WBKW VTW LATIL BRU SAKMA DARMU KAMIN KIBOL VPT SAROX VKL WMKK;;;  
WBKW_WMKK3;WBKW VTW LATIL BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKW_WMKK4;WBKW VTW LATIL BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKW_WMKK5;WBKW VTW LATIL BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBKW_WMKK6;WBKW VTW LATIL BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;  
WBSB_WMKK1;WBSB BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBSB_WMKK2;WBSB BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBSB_WMKK3;WBSB BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBSB_WMKK4;WBSB BRU OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WMKA_WMKK1;WMKA VAS VIH VBA VKL WMKK;;;
WMKA_WMKK2;WMKA VAS VIH VBA VKL WMKK;;;
WMKA_WMKK3;WMKA VAS VIH VBA VKL WMKK;;;
WMKA_WMKK4;WMKA VAS VIH VBA VKL WMKK;;;
WMKA_WMKK5;WMKA VAS VIH VBA VKL WMKK;;;
WMKA_WMSA1;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA2;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA3;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA4;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA5;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA6;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA7;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA8;WMKA VAS VIH VBA WMSA;;;
WMKA_WMSA9;WMKA VAS VIH VBA WMSA;;;
WMKC_WMKK1;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK2;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK3;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK4;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK5;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK6;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK7;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK8;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK9;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK10;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK11;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK12;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKK13;WMKC VKB PULIP VKL WMKK;;;
WMKC_WMKP1;WMKC VKB OPOMO VPG WMKP;;;
WMKC_WMKP2;WMKC VKB OPOMO VPG WMKP;;;
WMKC_WMSA1;WMKC VKB OPOMO VPG VIH VBA WMSA;;;  
WMKC_WMSA2;WMKC VKB OPOMO VPG VIH VBA WMSA;;;  
WMKC_WMSA3;WMKC VKB OPOMO VPG VIH VBA WMSA;;;  
WMKC_WMSA4;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA5;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA6;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA7;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA8;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA9;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA10;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA11;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA12;WMKC VKB OPOMO VPG VIH VBA WMSA;;;  
WMKC_WMSA13;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA14;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA15;WMKC VKB OPOMO VPG VIH VBA WMSA;;;  
WMKC_WMSA16;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA17;WMKC VKB PULIP VBA WMSA;;;
WMKC_WMSA18;WMKC VKB OPOMO VPG VIH VBA WMSA;;;  
WMKC_WMSA19;WMKC VKB PULIP VBA WMSA;;;
WMKD_WMKK1;WMKD VKN ADNUT KIMAT VKL WMKK;;;
WMKD_WMKK2;WMKD VKN ADNUT KIMAT VKL WMKK;;;
WMKD_WMKK3;WMKD VKN ADNUT KIMAT VKL WMKK;;;
WMKD_WSSS1;WMKD VKN VPK PADLI VMR VTK WSSS;;;  
WMKE_WMSA1;WMKE VKE VKN ADNUT PIBOS VBA WMSA;;;  
WMKE_WMSA2;WMKE VKE PULIP VBA WMSA;;;
WMKE_WMSA3;WMKE VKE VKN ADNUT PIBOS VBA WMSA;;;  
WMKE_WMSA4;WMKE VKE PULIP VBA WMSA;;;
WMKI_WMKJ1;WMKI VIH VJR WMKJ;;; 
WMKI_WMKJ2;WMKI VIH VJR WMKJ;;; 
WMKI_WSSS1;WMKI VIH VJR VTK WSSS;;;
WMKI_WSSS2;WMKI VIH VJR VTK WSSS;;;
WMKI_WSSS3;WMKI VIH VJR VTK WSSS;;;
WMKI_WSSS4;WMKI VIH VJR VTK WSSS;;;
WMKJ_WBGG1;WMKJ VJR VTK TOMAN NIMIX VKG WBGG;;;  
WMKJ_WBGG2;WMKJ VJR VTK TOMAN NIMIX VKG WBGG;;;  
WMKJ_WBGG3;WMKJ VJR VTK TOMAN NIMIX VKG WBGG;;;  
WMKJ_WBGR1;WMKJ VJR VTK TOMAN KAMIN DARMU SAKMA VMI WBGR;;;
WMKJ_WBKK1;WMKJ VJR VTK TOMAN KAMIN DARMU SAKMA BRU VJN WBKK;;;
WMKJ_WBKK2;WMKJ VJR VTK TOMAN KAMIN DARMU VMI BRU VJN WBKK;;;
WMKJ_WBKW1;WMKJ VJR VTK TOMAN KAMIN DARMU VMI BRU LATIL VTW WBKW;;;
WMKJ_WMKI1;WMKJ VJR GUPTA VKL AGOSA BILIK SUKAT TEPUS VIH WMKI;;;
WMKJ_WMKI2;WMKJ VJR GUPTA VKL AGOSA BILIK SUKAT TEPUS VIH WMKI;;;
WMKJ_WMKK1;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK2;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK3;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK4;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK5;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK6;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK7;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK8;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK9;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK10;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK11;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK12;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK13;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK14;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK15;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK16;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK17;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK18;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK19;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK20;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKK21;WMKJ VJR GUPTA VKL WMKK;;;
WMKJ_WMKP1;WMKJ VJR GEMAS VBA SUKAT TEPUS VPG WMKP;;; 
WMKJ_WMKP2;WMKJ VJR GUPTA VKL AGOSA BILIK SUKAT TEPUS VPG WMKP;;;
WMKJ_WMKP3;WMKJ VJR GUPTA VKL AGOSA BILIK SUKAT TEPUS VPG WMKP;;;
WMKK_WBGB1;WMKK VKL SAROX VPT KIBOL KAMIN AGDAB VBU WBGB;;;
WMKK_WBGB2;WMKK VKL SAROX VPT KIBOL KAMIN AGDAB VBU WBGB;;;
WMKK_WBGB3;WMKK VKL SAROX VPT KIBOL KAMIN AGDAB VBU WBGB;;;
WMKK_WBGB4;WMKK VKL SAROX VPT KIBOL KAMIN AGDAB VBU WBGB;;;
WMKK_WBGG1;WMKK VKL ISTAN VPK OBDAB KETOD BOBOB NIMIX VKG WBGG;;;
WMKK_WBGG2;WMKK VKL ISTAN VPK OBDAB KETOD BOBOB NIMIX VKG WBGG;;;
WMKK_WBGG3;WMKK VKL ISTAN VPK OBDAB KETOD BOBOB NIMIX VKG WBGG;;;
WMKK_WBGG4;WMKK VKL SAROX VPT KIBOL KAMIN VKG WBGG;;;
WMKK_WBGG5;WMKK VKL SAROX VPT KIBOL KAMIN VKG WBGG;;;
WMKK_WBGG6;WMKK VKL ISTAN VPK OBDAB KETOD BOBOB NIMIX VKG WBGG;;;
WMKK_WBGG7;WMKK VKL ISTAN VPK OBDAB KETOD BOBOB NIMIX VKG WBGG;;;
WMKK_WBGG8;WMKK VKL SAROX VPT KIBOL KAMIN VKG WBGG;;;
WMKK_WBGG9;WMKK VKL ISTAN VPK OBDAB KETOD BOBOB SABIP AGOBA VKG WBGG;;;
